Tahun,Bulan,IHK(indeks harga konsumen),pendapatan perkapita ( juta rupiah ),Harga Gula (rupiah),permintaan (ton),jumlah penduduk (jiwa),jumlah produksi (juta ton)
2018,januari,131.81,34100000,11650,7.9111,3802872,1.17111
,februari,131.81,34100000,11750,7.9111,3802872,1.17111
,maret ,131.81,34100000,11750,7.9111,3802872,1.17111
,april,131.81,34100000,11950,7.9111,3802872,1.17111
,mei,131.81,34100000,12000,7.9111,3802872,1.17111
,juni,131.81,34100000,11950,7.9111,3802872,1.17111
,juli,131.81,34100000,11750,7.9111,3802872,1.17111
,agustus,131.81,34100000,11650,7.9111,3802872,1.17111
,september,131.81,34100000,11400,7.9111,3802872,1.17111
,oktober,131.81,34100000,11200,7.9111,3802872,1.17111
,november,131.81,34100000,11100,7.9111,3802872,1.17111
,desember,131.81,34100000,10900,7.9111,3802872,1.17111
2019,januari,135.46,36700000,10900,10.411,3842932,2.22222
,februari,135.46,36700000,10950,10.411,3842932,2.22222
,maret ,135.46,36700000,11200,10.411,3842932,2.22222
,april,135.46,36700000,11700,10.411,3842932,2.22222
,mei,135.46,36700000,12650,10.411,3842932,2.22222
,juni,135.46,36700000,12750,10.411,3842932,2.22222
,juli,135.46,36700000,12600,10.411,3842932,2.22222
,agustus,135.46,36700000,12200,10.411,3842932,2.22222
,september,135.46,36700000,12000,10.411,3842932,2.22222
,oktober,135.46,36700000,12100,10.411,3842932,2.22222
,november,135.46,36700000,12250,10.411,3842932,2.22222
,desember,135.46,36700000,12450,10.411,3842932,2.22222
2020,januari,106.1,35600000,13350,9.7111,3882288,2.13333
,februari,106.1,35600000,13950,9.7111,3882288,2.13333
,maret ,106.1,35600000,16450,9.7111,3882288,2.13333
,april,106.1,35600000,17600,9.7111,3882288,2.13333
,mei,106.1,35600000,15850,9.7111,3882288,2.13333
,juni,106.1,35600000,14300,9.7111,3882288,2.13333
,juli,106.1,35600000,13400,9.7111,3882288,2.13333
,agustus,106.1,35600000,13400,9.7111,3882288,2.13333
,september,106.1,35600000,13250,9.7111,3882288,2.13333
,oktober,106.1,35600000,12900,9.7111,3882288,2.13333
,november,106.1,35600000,12800,9.7111,3882288,2.13333
,desember,106.1,35600000,12850,9.7111,3882288,2.13333
