"Tahun","Bulan","IHK(indeks harga konsumen)","pendapatan perkapita ( juta rupiah )","Harga Gula (rupiah)","permintaan (ton)","jumlah penduduk (jiwa)","jumlah produksi (juta ton)"
"2018","januari","131.81","34.1","11650","7.9","3802872","1.17"
"","februari","131.81","34.1","11750","7.9","3802872","1.17"
"","maret ","131.81","34.1","11750","7.9","3802872","1.17"
"","april","131.81","34.1","11950","7.9","3802872","1.17"
"","mei","131.81","34.1","12000","7.9","3802872","1.17"
"","juni","131.81","34.1","11950","7.9","3802872","1.17"
"","juli","131.81","34.1","11750","7.9","3802872","1.17"
"","agustus","131.81","34.1","11650","7.9","3802872","1.17"
"","september","131.81","34.1","11400","7.9","3802872","1.17"
"","oktober","131.81","34.1","11200","7.9","3802872","1.17"
"","november","131.81","34.1","11100","7.9","3802872","1.17"
"","desember","131.81","34.1","10900","7.9","3802872","1.17"
"2019","januari","135.46","36.7","10900","10.4","3842932","2.22"
"","februari","135.46","36.7","10950","10.4","3842932","2.22"
"","maret ","135.46","36.7","11200","10.4","3842932","2.22"
"","april","135.46","36.7","11700","10.4","3842932","2.22"
"","mei","135.46","36.7","12650","10.4","3842932","2.22"
"","juni","135.46","36.7","12750","10.4","3842932","2.22"
"","juli","135.46","36.7","12600","10.4","3842932","2.22"
"","agustus","135.46","36.7","12200","10.4","3842932","2.22"
"","september","135.46","36.7","12000","10.4","3842932","2.22"
"","oktober","135.46","36.7","12100","10.4","3842932","2.22"
"","november","135.46","36.7","12250","10.4","3842932","2.22"
"","desember","135.46","36.7","12450","10.4","3842932","2.22"
"2020","januari","106.1","35.6","13350","9.7","3882288","2.13"
"","februari","106.1","35.6","13950","9.7","3882288","2.13"
"","maret ","106.1","35.6","16450","9.7","3882288","2.13"
"","april","106.1","35.6","17600","9.7","3882288","2.13"
"","mei","106.1","35.6","15850","9.7","3882288","2.13"
"","juni","106.1","35.6","14300","9.7","3882288","2.13"
"","juli","106.1","35.6","13400","9.7","3882288","2.13"
"","agustus","106.1","35.6","13400","9.7","3882288","2.13"
"","september","106.1","35.6","13250","9.7","3882288","2.13"
"","oktober","106.1","35.6","12900","9.7","3882288","2.13"
"","november","106.1","35.6","12800","9.7","3882288","2.13"
"","desember","106.1","35.6","12850","9.7","3882288","2.13"
